Oct 21, 2018 14:55:34.251945693 MST,
Oct 21, 2018 14:55:34.254368050 MST,1448
Oct 21, 2018 14:55:34.255588658 MST,4344
Oct 21, 2018 14:55:34.255600214 MST,
Oct 21, 2018 14:55:34.258029863 MST,2896
Oct 21, 2018 14:55:34.258043753 MST,
Oct 21, 2018 14:55:34.260410881 MST,2896
Oct 21, 2018 14:55:34.260422484 MST,
Oct 21, 2018 14:55:34.262852333 MST,2896
Oct 21, 2018 14:55:34.262864154 MST,
Oct 21, 2018 14:55:34.265294044 MST,2896
Oct 21, 2018 14:55:34.265306012 MST,
Oct 21, 2018 14:55:34.267673019 MST,2896
Oct 21, 2018 14:55:34.267685896 MST,
Oct 21, 2018 14:55:34.270118962 MST,2896
Oct 21, 2018 14:55:34.270131733 MST,
Oct 21, 2018 14:55:34.272555343 MST,2896
Oct 21, 2018 14:55:34.272568117 MST,
Oct 21, 2018 14:55:34.274945189 MST,4344
Oct 21, 2018 14:55:34.274999335 MST,
Oct 21, 2018 14:55:34.278602291 MST,4344
Oct 21, 2018 14:55:34.278663643 MST,
Oct 21, 2018 14:55:34.282205996 MST,4344
Oct 21, 2018 14:55:34.282272312 MST,
Oct 21, 2018 14:55:34.285861743 MST,2896
Oct 21, 2018 14:55:34.285915794 MST,
Oct 21, 2018 14:55:34.288306347 MST,4344
Oct 21, 2018 14:55:34.288359267 MST,
Oct 21, 2018 14:55:34.291905413 MST,2896
Oct 21, 2018 14:55:34.291956570 MST,
Oct 21, 2018 14:55:34.294347635 MST,1448
Oct 21, 2018 14:55:34.295566187 MST,4344
Oct 21, 2018 14:55:34.295617194 MST,
Oct 21, 2018 14:55:34.297963441 MST,2896
Oct 21, 2018 14:55:34.298016064 MST,
Oct 21, 2018 14:55:34.300388321 MST,2896
Oct 21, 2018 14:55:34.300440798 MST,
Oct 21, 2018 14:55:34.302845352 MST,2896
Oct 21, 2018 14:55:34.302979970 MST,
Oct 21, 2018 14:55:34.305271307 MST,2896
Oct 21, 2018 14:55:34.305324474 MST,
Oct 21, 2018 14:55:34.307651310 MST,2896
Oct 21, 2018 14:55:34.307702246 MST,
Oct 21, 2018 14:55:34.310114511 MST,2896
Oct 21, 2018 14:55:34.310230140 MST,
Oct 21, 2018 14:55:34.312556956 MST,2896
Oct 21, 2018 14:55:34.312667590 MST,
Oct 21, 2018 14:55:34.314932507 MST,2896
Oct 21, 2018 14:55:34.315041346 MST,
Oct 21, 2018 14:55:34.317372031 MST,4344
Oct 21, 2018 14:55:34.317443189 MST,
Oct 21, 2018 14:55:34.321008700 MST,4344
Oct 21, 2018 14:55:34.321107819 MST,
Oct 21, 2018 14:55:34.324650142 MST,4344
Oct 21, 2018 14:55:34.324826010 MST,
Oct 21, 2018 14:55:34.328296851 MST,4344
Oct 21, 2018 14:55:34.328421724 MST,
Oct 21, 2018 14:55:34.331904901 MST,2896
Oct 21, 2018 14:55:34.332022441 MST,
Oct 21, 2018 14:55:34.334346872 MST,1448
Oct 21, 2018 14:55:34.335545889 MST,4344
Oct 21, 2018 14:55:34.335601278 MST,
Oct 21, 2018 14:55:34.337939583 MST,2896
Oct 21, 2018 14:55:34.338038643 MST,
Oct 21, 2018 14:55:34.340367837 MST,2896
Oct 21, 2018 14:55:34.340456306 MST,
Oct 21, 2018 14:55:34.342814657 MST,2896
Oct 21, 2018 14:55:34.342938842 MST,
Oct 21, 2018 14:55:34.345211445 MST,2896
Oct 21, 2018 14:55:34.345308999 MST,
Oct 21, 2018 14:55:34.347631878 MST,2896
Oct 21, 2018 14:55:34.347692426 MST,
Oct 21, 2018 14:55:34.350074194 MST,2896
Oct 21, 2018 14:55:34.350150427 MST,
Oct 21, 2018 14:55:34.352451685 MST,2896
Oct 21, 2018 14:55:34.352499927 MST,
Oct 21, 2018 14:55:34.354894598 MST,2896
Oct 21, 2018 14:55:34.354945621 MST,
Oct 21, 2018 14:55:34.357336171 MST,4344
Oct 21, 2018 14:55:34.357408785 MST,
Oct 21, 2018 14:55:34.360944601 MST,4344
Oct 21, 2018 14:55:34.361020055 MST,
Oct 21, 2018 14:55:34.364597580 MST,4344
Oct 21, 2018 14:55:34.364651842 MST,
Oct 21, 2018 14:55:34.368198743 MST,4344
Oct 21, 2018 14:55:34.368252995 MST,
Oct 21, 2018 14:55:34.371853991 MST,2896
Oct 21, 2018 14:55:34.371888834 MST,
Oct 21, 2018 14:55:34.374309041 MST,1448
Oct 21, 2018 14:55:34.375535107 MST,4344
Oct 21, 2018 14:55:34.375635122 MST,
Oct 21, 2018 14:55:34.377905202 MST,2896
Oct 21, 2018 14:55:34.377979358 MST,
Oct 21, 2018 14:55:34.380355052 MST,2896
Oct 21, 2018 14:55:34.380429399 MST,
Oct 21, 2018 14:55:34.382796650 MST,2896
Oct 21, 2018 14:55:34.382872335 MST,
Oct 21, 2018 14:55:34.385222644 MST,2896
Oct 21, 2018 14:55:34.385344642 MST,
Oct 21, 2018 14:55:34.387613723 MST,2896
Oct 21, 2018 14:55:34.387696077 MST,
Oct 21, 2018 14:55:34.390072152 MST,2896
Oct 21, 2018 14:55:34.392146665 MST,
Oct 21, 2018 14:55:34.392435755 MST,2896
Oct 21, 2018 14:55:34.392489998 MST,
Oct 21, 2018 14:55:34.394870970 MST,2896
Oct 21, 2018 14:55:34.394923680 MST,
Oct 21, 2018 14:55:34.397321925 MST,4344
Oct 21, 2018 14:55:34.397396093 MST,
Oct 21, 2018 14:55:34.400915271 MST,4344
Oct 21, 2018 14:55:34.400987190 MST,
Oct 21, 2018 14:55:34.404584460 MST,2896
Oct 21, 2018 14:55:34.404700148 MST,
Oct 21, 2018 14:55:34.406964467 MST,1448
Oct 21, 2018 14:55:34.408230854 MST,5792
Oct 21, 2018 14:55:34.408360476 MST,
Oct 21, 2018 14:55:34.411892573 MST,2896
Oct 21, 2018 14:55:34.411990733 MST,
Oct 21, 2018 14:55:34.414280362 MST,1448
Oct 21, 2018 14:55:34.415439939 MST,4344
Oct 21, 2018 14:55:34.415491568 MST,
Oct 21, 2018 14:55:34.417885943 MST,2896
Oct 21, 2018 14:55:34.417992277 MST,
Oct 21, 2018 14:55:34.420334093 MST,2896
Oct 21, 2018 14:55:34.420445301 MST,
Oct 21, 2018 14:55:34.422707667 MST,2896
Oct 21, 2018 14:55:34.422811414 MST,
Oct 21, 2018 14:55:34.425177600 MST,2896
Oct 21, 2018 14:55:34.425226889 MST,
Oct 21, 2018 14:55:34.427558457 MST,2896
Oct 21, 2018 14:55:34.427609795 MST,
Oct 21, 2018 14:55:34.430020600 MST,2896
Oct 21, 2018 14:55:34.430074603 MST,
Oct 21, 2018 14:55:34.432423450 MST,2896
Oct 21, 2018 14:55:34.432494268 MST,
Oct 21, 2018 14:55:34.434819831 MST,4344
Oct 21, 2018 14:55:34.434880615 MST,
Oct 21, 2018 14:55:34.438451213 MST,4344
Oct 21, 2018 14:55:34.438535791 MST,
Oct 21, 2018 14:55:34.442081955 MST,4344
Oct 21, 2018 14:55:34.442135125 MST,
Oct 21, 2018 14:55:34.445726312 MST,4344
Oct 21, 2018 14:55:34.445801311 MST,
Oct 21, 2018 14:55:34.449408355 MST,2896
Oct 21, 2018 14:55:34.449524593 MST,
Oct 21, 2018 14:55:34.451845406 MST,2896
Oct 21, 2018 14:55:34.451883224 MST,
Oct 21, 2018 14:55:34.454217994 MST,2896
Oct 21, 2018 14:55:34.454321475 MST,
Oct 21, 2018 14:55:34.456719863 MST,2896
Oct 21, 2018 14:55:34.456833516 MST,
Oct 21, 2018 14:55:34.459089195 MST,2896
Oct 21, 2018 14:55:34.459191833 MST,
Oct 21, 2018 14:55:34.461479084 MST,2896
Oct 21, 2018 14:55:34.461598641 MST,
Oct 21, 2018 14:55:34.464186125 MST,2896
Oct 21, 2018 14:55:34.464360434 MST,
Oct 21, 2018 14:55:34.466342194 MST,2896
Oct 21, 2018 14:55:34.466478547 MST,
Oct 21, 2018 14:55:34.468739301 MST,4344
Oct 21, 2018 14:55:34.469046761 MST,
